mode,measure_kernel,target_l1,target_l2,target_l3,target_dram,actual_l1,actual_l2,actual_l3,actual_dram,cycles,ops_per_cycle,gbps,pmu_instructions,instructions_per_op,lines_l1,lines_l2,lines_l3,lines_dram,share_l1,share_l2,share_l3,share_dram,evict_passes_l1,evict_passes_l2,evict_passes_l3
read,stream,1.0,0.0,0.0,0.0,0.99875,0.0011666666666666668,0.0,8.333333333333333e-05,34939.0,0.2862278865,23.426918994,72436.0,7.2436,64,64,64,64,100,0,0,0,0,0,0
write,stream,1.0,0.0,0.0,0.0,0.99875,0.0011666666666666668,0.0,8.333333333333333e-05,42890.0,0.2331552945,26.224311483999998,111036.0,11.1036,64,64,64,64,100,0,0,0,0,0,0
