mode,measure_kernel,target_l1,target_l2,target_l3,target_dram,actual_l1,actual_l2,actual_l3,actual_dram,cycles,ops_per_cycle,gbps,pmu_instructions,instructions_per_op,lines_l1,lines_l2,lines_l3,lines_dram,share_l1,share_l2,share_l3,share_dram,evict_passes_l1,evict_passes_l2,evict_passes_l3,matrix_step
read,stream,0.2,0.0,0.6,0.2,0.19971666666666668,0.42114957016100907,0.37506651560510884,0.0040672475672154,26723.0,0.1496837935,9.329779504000001,16743.0,4.18575,64,64,65536,393216,20,0,60,20,1,1,0,20
read,stream,0.2,0.0,0.8,0.0,0.19968333333333332,0.4814358836005598,0.31728583792432763,0.0015949451417791886,14646.5,0.273131246,12.208552014,15623.0,3.90575,64,64,65536,64,20,0,80,0,1,1,0,20
read,stream,0.2,0.2,0.0,0.6,0.19955,0.23663505100678198,0.5520428641751061,0.011772084818111943,27896.0,0.143449205,9.418899541,16743.0,4.18575,64,2048,64,393216,20,20,0,60,1,1,1,20
read,stream,0.2,0.2,0.2,0.4,0.19963333333333333,0.34294347426930183,0.4282950620221622,0.029128130375202604,27580.5,0.145058049,9.0984636615,20823.0,5.20575,64,2048,65536,393216,20,20,20,40,1,1,0,20
read,stream,0.2,0.2,0.4,0.2,0.19973333333333335,0.4586296018721406,0.3357402321199381,0.00589683267458803,27757.0,0.144111564,9.260906596000002,20823.0,5.20575,64,2048,65536,393216,20,20,40,20,1,1,0,20
read,stream,0.2,0.2,0.6,0.0,0.19968333333333332,0.5335090178150679,0.2660592257442898,0.0007484231073090801,14722.5,0.27169465699999995,12.380929025,16743.0,4.18575,64,2048,65536,64,20,20,60,0,1,1,0,20
read,stream,0.2,0.4,0.0,0.4,0.19988333333333333,0.42199583607895186,0.3694726114470852,0.008648219140629684,25821.0,0.154921504,9.5875372565,16783.0,4.19575,64,2048,64,393216,20,40,0,40,1,0,0,20
read,stream,0.2,0.4,0.2,0.2,0.19995000000000002,0.5289188783519391,0.26263803545314957,0.008493086194911318,28424.5,0.14072376749999999,9.161037915,20823.0,5.20575,64,2048,65536,393216,20,40,20,20,1,0,0,20
read,stream,0.2,0.4,0.4,0.0,0.19966666666666666,0.6433618788001785,0.15645681901876887,0.0005146355143860583,15783.0,0.253462966,11.8345877405,16783.0,4.19575,64,2048,65536,64,20,40,40,0,1,0,0,20
read,stream,0.2,0.6,0.0,0.2,0.19975,0.6138079070060773,0.18180141710955067,0.004640675884371943,20257.0,0.1974626175,10.360818044999998,16776.0,4.194,64,2048,64,393216,20,60,0,20,1,0,0,20
read,stream,0.2,0.6,0.2,0.0,0.19973333333333335,0.7212777174015422,0.07871817741625164,0.0002707718488727283,13051.0,0.306490507,12.791340568,16776.0,4.194,64,2048,65536,64,20,60,20,0,1,0,0,20
read,stream,0.2,0.8,0.0,0.0,0.19963333333333333,0.8003541117388575,1.2554927809165097e-05,0.0,8325.0,0.48048082000000003,15.324925287,15625.0,3.90625,64,2048,64,64,20,80,0,0,1,0,0,20
read,stream,0.4,0.0,0.0,0.6,0.3995666666666667,0.03580164277469457,0.5534810189607027,0.011150671597936047,17415.5,0.22968888599999998,11.0214899325,13072.0,3.268,64,64,64,393216,40,0,0,60,1,1,1,20
read,stream,0.4,0.0,0.2,0.4,0.39943333333333336,0.14614614459694084,0.44247958146055305,0.011940940609172787,20513.0,0.1950057685,10.426218068,17152.0,4.288,64,64,65536,393216,40,0,20,40,1,1,0,20
read,stream,0.4,0.0,0.4,0.2,0.3996,0.2678967161325444,0.32724939468601477,0.0052538891814408895,21574.0,0.185439153,10.431146358,17152.0,4.288,64,64,65536,393216,40,0,40,20,1,1,0,20
read,stream,0.4,0.0,0.6,0.0,0.39916666666666667,0.3684813114540601,0.23120306700527446,0.001148954873998828,10741.0,0.372411935,13.1701127235,13072.0,3.268,64,64,65536,64,40,0,60,0,1,1,0,20
read,stream,0.4,0.2,0.0,0.4,0.39940000000000003,0.2221910871051741,0.36760093659992127,0.010807976294904646,19682.0,0.20324210799999998,10.563897938499998,17152.0,4.288,64,2048,64,393216,40,20,0,40,1,1,1,20
read,stream,0.4,0.2,0.2,0.2,0.39936666666666665,0.3335239247472833,0.26288060064310514,0.004228807942944876,20849.5,0.19186125399999998,10.502795988999999,21192.0,5.298,64,2048,65536,393216,40,20,20,20,1,1,0,20
read,stream,0.4,0.2,0.4,0.0,0.39940000000000003,0.4336727612430617,0.16638989955087144,0.0005373392060668998,13829.5,0.2892529775,12.463336648,17152.0,4.288,64,2048,65536,64,40,20,40,0,1,1,0,20
read,stream,0.4,0.4,0.0,0.2,0.3994666666666667,0.4107731295096366,0.18397294111919277,0.005787262704503962,20209.0,0.1979398055,10.605253251,17152.0,4.288,64,2048,64,393216,40,40,0,20,1,0,0,20
read,stream,0.4,0.4,0.2,0.0,0.3995666666666667,0.5221450202034333,0.07797149866063298,0.0003168144692670833,15200.0,0.263270962,12.265825672,17152.0,4.288,64,2048,65536,64,40,40,20,0,1,0,0,20
read,stream,0.4,0.6,0.0,0.0,0.3993666666666667,0.6005968533338928,3.64799994405927e-05,0.0,8217.0,0.4867970805,15.709863889000001,13105.0,3.27625,64,2048,64,64,40,60,0,0,1,0,0,20
read,stream,0.6,0.0,0.0,0.4,0.5993499999999999,0.02021560539983585,0.3689239266057113,0.01151046799445287,12958.5,0.308715034,12.1243703315,13416.0,3.354,64,64,64,393216,60,0,0,40,1,1,1,20
read,stream,0.6,0.0,0.2,0.2,0.599,0.14205213702377983,0.25348112371166925,0.005466739264550914,14847.5,0.26941435,11.470846276,17456.0,4.364,64,64,65536,393216,60,0,20,20,1,1,0,20
read,stream,0.6,0.0,0.4,0.0,0.5989,0.2653789101609206,0.1352703350792543,0.00045075475982516295,9008.5,0.44402837149999996,14.060146678999999,13416.0,3.354,64,64,65536,64,60,0,40,0,1,1,0,20
read,stream,0.6,0.2,0.0,0.2,0.5994499999999999,0.2118733857898831,0.1838442613126134,0.00483235289750353,14580.0,0.274349828,11.785161700500002,17456.0,4.364,64,2048,64,393216,60,20,0,20,1,1,1,20
read,stream,0.6,0.2,0.2,0.0,0.59915,0.32719917424801326,0.07335143244562843,0.00029939330635832506,11332.5,0.3529678785,12.955249188,17456.0,4.364,64,2048,65536,64,60,20,20,0,1,1,0,20
read,stream,0.6,0.4,0.0,0.0,0.59855,0.40145000000000003,0.0,0.0,8424.0,0.47483531349999997,15.258653077,13416.0,3.354,64,2048,64,64,60,40,0,0,1,0,0,20
read,stream,0.8,0.0,0.0,0.2,0.7986666666666666,0.013094974643280575,0.18208588818431115,0.006152470505741593,9337.0,0.42842585099999997,12.633619468,16497.0,4.12425,64,64,64,393216,80,0,0,20,0,0,0,20
read,stream,0.8,0.0,0.2,0.0,0.7991333333333334,0.13455104015573555,0.06607335354656467,0.00024227296436643908,6836.0,0.5851390224999999,14.5748640355,16497.0,4.12425,64,64,65536,64,80,0,20,0,0,0,0,20
read,stream,0.8,0.2,0.0,0.0,0.7990666666666667,0.20093333333333335,0.0,0.0,6249.5,0.6400516995000001,15.7710948125,16497.0,4.12425,64,2048,64,64,80,20,0,0,0,0,0,20
read,stream,1.0,0.0,0.0,0.0,0.9986666666666667,0.0013333333333333333,0.0,0.0,4526.5,0.8844658755,16.6905844245,12838.0,3.2095,64,64,64,64,100,0,0,0,0,0,0,20
